sl no,Detection Name,Category,TTP,Severity
2745,Suspicious Service DACL Modification Via Set-Service Cmdlet - PS,windows,T1574.011,high
2746,Suspicious Service Installation,windows,T1543.003,high
2747,Suspicious Service Installation Script,windows,T1543.003,high
2748,Suspicious Service Installed,windows,T1685,medium
2749,Suspicious Service Path Modification,windows,T1543.003,high
2750,Suspicious Shell Open Command Registry Modification,windows,"T1548.002, T1546.001",medium
2751,Suspicious ShellExec_RunDLL Call Via Ordinal,windows,T1218.011,high
2752,Suspicious Shells Spawn by Java Utility Keytool,windows,,high
2753,Suspicious Shim Database Patching Activity,windows,T1546.011,high
2754,Suspicious Space Characters in RunMRU Registry Path - ClickFix,windows,"T1204.004, T1027.010",high
2755,Suspicious Space Characters in TypedPaths Registry Path - FileFix,windows,"T1204.004, T1027.010",high
2756,Suspicious Speech Runtime Binary Child Process,windows,"T1021.003, T1218",high
2757,Suspicious Splwow64 Without Params,windows,T1202,high
2758,Suspicious Spool Service Child Process,windows,"T1203, T1068",high
2759,Suspicious SSL Connection,windows,T1573,low
2760,Suspicious Start-Process PassThru,windows,T1036.003,medium
2761,Suspicious Startup Folder Persistence,windows,"T1204.002, T1547.001",high
2762,Suspicious Svchost Process Access,windows,T1685.001,high
